State,Year,Percent Volunteered,Volunteered_Rank,Hours Volunteered per capita,Hours Volunteered_rank,Percent Attended a Public Meeting,Percent Attended a Public Meeting_rank,Percent Worked with Neighbors to Fix a Community Problem,Worked with Neighbors to Fix a Community Problem_rank,Percent Donated Money to a Charity,Donated Money to a Charity_rank,Percent Contacted or Visited a Public Official,Contacted or Visited a Public Official_rank,Percent Bought or boycotted a product ,Bought or boycotted a product_rank,Percent Belongs to a Community Group,Belongs to a community group_rank,Percent Belongs to a Civic Organization,Belongs to a Civic Organization_rank
Alabama,2013,23.3,33,24.51,24,5.3,49,4.6,50,55.5,17,9.6,37,8.7,42,17.1,10,6.3,35
Alaska,2013,30.8,11,35.94,3,18.9,2,15.8,2,61.6,3,19.8,3,15.4,11,18.2,7,13.8,1
Arizona,2013,21.3,42,24.31,26,4.3,51,5.3,47,48.6,39,8.9,45,10.3,37,9.9,48,4.5,48
Arkansas,2013,17.8,49,18.94,47,6.6,43,4.6,50,45.1,45,9.6,37,8.4,48,12,38,6.5,33
California,2013,22.4,37,24.67,21,7.5,32,7,35,46.9,40,8.8,46,13.2,21,12,38,4.7,46
Colorado,2013,27.5,18,23.48,34,12.4,10,10.1,14,57.6,9,14.6,12,19.7,6,16,15,7.4,26
Connecticut,2013,26.5,23,24.56,22,10.4,19,8.7,22,57.1,11,12.8,19,13,23,11.1,42,7.4,26
DC,2013,29,16,32.09,7,14.9,5,14.8,4,44.7,46,21.5,2,25.8,2,24.3,1,7.7,23
Delaware,2013,24.4,29,23.87,28,9.1,25,6.7,39,53.5,21,12.4,21,10.8,33,19.2,4,7.5,24
Florida,2013,18.2,47,22.54,36,5.5,48,5.8,45,41.7,50,7.5,50,8.8,41,9.6,51,3.7,49
Georgia,2013,22.1,39,18.29,48,8.8,27,9.2,18,50.4,32,10.8,30,10.7,34,16.7,12,5.9,39
Hawaii,2013,20.2,43,20.89,41,6.3,45,7.2,33,52.8,25,9,44,8.7,42,13.6,24,5.3,44
Idaho,2013,33.6,3,39.64,2,9.9,22,10.2,12,49.3,35,18.6,4,19.3,8,17.8,8,6.3,35
Illinois,2013,24.6,28,24.99,20,7.9,30,6.7,39,56.1,14,10.5,33,12.4,24,12.5,33,5.8,41
Indiana,2013,25.1,25,20.08,44,6.1,47,5.2,49,50.4,32,10.7,31,15.2,13,10.8,44,10.4,9
Iowa,2013,32.2,6,23.53,32,12.7,8,10.9,9,51.4,30,12.1,24,13.1,22,10,47,9.4,15
Kansas,2013,32.8,5,28.77,13,10.8,18,10.4,11,55.7,15,11.9,26,14.4,16,16.6,13,9.4,15
Kentucky,2013,22.4,37,19.86,45,7.2,37,6.9,37,48.8,38,10.7,31,8.7,42,12.1,35,8,21
Louisiana,2013,14.5,51,15.83,51,4.9,50,5.3,47,35.3,51,8.2,48,5.6,51,9.7,49,2.9,50
Maine,2013,30.1,14,30.17,12,15.4,3,12,5,52.4,27,16.5,7,21.4,5,14.3,20,9.8,12
Maryland,2013,26.6,22,26.01,17,9.3,24,9,20,55.7,15,12,25,11.7,28,18.4,6,6.8,30
Massachusetts,2013,24.3,30,23.71,30,11.4,14,7.4,29,53.2,23,12.4,21,11.6,29,10.3,45,5.9,39
Michigan,2013,27.4,19,25.73,18,6.9,41,7.1,34,50.4,32,9.7,36,14.4,16,13.3,27,6.7,31
Minnesota,2013,33.5,4,31.90,8,12,12,9.8,15,61.1,4,13.8,15,14.6,15,14,23,10.7,7
Mississippi,2013,24,31,23.69,31,7.5,32,7.8,25,51.7,28,14.1,13,10,39,20.6,3,9.7,13
Missouri,2013,30.6,12,26.37,16,9.6,23,10.7,10,58.2,6,9.6,37,10.5,35,14.5,18,8.7,19
Montana,2013,30.3,13,32.42,6,11.8,13,9.3,17,53.2,23,17.1,6,18.4,9,12.5,33,12.1,3
Nebraska,2013,30.9,10,31.40,9,10.2,20,10.2,12,54.4,18,11.4,27,11.1,32,12.8,31,11.9,4
Nevada,2013,18.8,46,21.32,40,7.1,38,6.3,42,46.8,43,12.6,20,13.5,19,11.4,40,5.1,45
New Hampshire,2013,24.9,26,24.40,25,13.9,6,8.5,23,57.5,10,13.5,16,14.1,18,13.3,27,7.9,22
New Jersey,2013,19.5,45,23.92,27,7.7,31,6.2,43,52.8,25,10.9,29,12.4,24,12.1,35,6.5,33
New Mexico,2013,22.7,36,23.86,29,7.3,36,6.2,43,46.1,44,13.1,18,15.4,11,12.9,30,2.6,51
New York,2013,17.4,50,20.65,42,8.4,28,7.5,28,46.9,40,10.1,34,12.4,24,13.5,25,4.6,47
North Carolina,2013,24.7,27,21.62,39,8.9,26,8,24,53.4,22,9.6,37,9.3,40,16.8,11,6,38
North Dakota,2013,26.7,21,17.85,49,12.7,8,9.2,18,58.1,7,13.9,14,8.5,47,10.9,43,11.4,6
Ohio,2013,23.4,32,24.55,23,6.3,45,6.5,41,46.9,40,10,35,12.1,27,10.1,46,7.1,28
Oklahoma,2013,23.1,35,22.31,38,7,39,7.4,29,44,48,11,28,8.6,46,16.2,14,10,10
Oregon,2013,30,15,33.65,4,11.4,14,11.8,7,56.5,13,12.2,23,26.4,1,14.3,20,10,10
Pennsylvania,2013,25.4,24,26.99,15,7.4,35,7.4,29,49.3,35,9.1,43,10.1,38,9.7,49,7.5,24
Rhode Island,2013,21.7,40,19.03,46,8.1,29,6.8,38,54.3,19,13.4,17,15.2,13,12.1,35,7,29
South Carolina,2013,19.9,44,20.25,43,7.5,32,7.6,26,53.9,20,9.3,42,6.1,50,13.4,26,6.7,31
South Dakota,2013,32.2,6,25.52,19,11.3,16,12,5,56.7,12,15.3,9,11.2,31,11.3,41,9.5,14
Tennessee,2013,23.2,34,23.02,35,7,39,7,35,51.6,29,6.7,51,10.4,36,13,29,5.8,41
Texas,2013,21.5,41,22.36,37,6.5,44,5.8,45,44.3,47,8.1,49,8.7,42,14.1,22,5.5,43
Utah,2013,44.3,1,53.85,1,15.4,3,19.5,1,67.1,1,15.2,10,18.4,9,21.8,2,8.1,20
Vermont,2013,31.2,9,30.67,10,20.3,1,15.5,3,49.3,35,23.5,1,22,4,17.2,9,13.1,2
Virginia,2013,28.8,17,30.50,11,10.1,21,7.6,26,58.1,7,9.4,41,13.5,19,15.2,16,6.1,37
Washington,2013,31.7,8,33.23,5,11.3,16,11.5,8,58.9,5,15,11,22.4,3,18.5,5,9.1,17
West Virginia,2013,18.2,47,17.77,50,6.9,41,7.3,32,41.9,49,8.5,47,7.7,49,14.5,18,9.1,17
Wisconsin,2013,34.2,2,28.77,13,13.8,7,8.9,21,61.9,2,16.2,8,19.6,7,14.9,17,10.6,8
Wyoming,2013,27.4,19,23.51,33,12.1,11,9.8,15,50.7,31,18,5,11.4,30,12.7,32,11.8,5
National Average,2013,23.9,,20.48,,8.3,,7.6,,50.7,,10.3,,12.2,,13.2,,6.4,
